"id","input","scenegraph","is_reasonable","is_annotated"
"item_0001","In a dimly lit kitchen, a cutting board sits atop the counter, next to a sharp knife and a half-peeled onion. A bowl of ripe tomatoes rests nearby, while a pot steams on the stove beside a collection of spices in small jars.","[{""time"": ""T1"", ""nodes"": [{""id"": ""kitchen"", ""attributes"": [""dimly_lit""]}, {""id"": ""cutting_board"", ""attributes"": []}, {""id"": ""counter"", ""attributes"": []}, {""id"": ""knife"", ""attributes"": [""sharp""]}, {""id"": ""onion"", ""attributes"": [""half_peeled""]}], ""edges"": [[""cutting_board"", ""sits_atop"", ""counter""], [""knife"", ""next_to"", ""cutting_board""], [""onion"", ""next_to"", ""knife""], [""cutting_board"", ""in"", ""kitchen""], [""knife"", ""in"", ""kitchen""], [""onion"", ""in"", ""kitchen""]]}, {""time"": ""T2"", ""nodes"": [{""id"": ""bowl"", ""attributes"": [""of_ripe_tomatoes""]}, {""id"": ""cutting_board"", ""attributes"": []}, {""id"": ""counter"", ""attributes"": []}, {""id"": ""kitchen"", ""attributes"": [""dimly_lit""]}], ""edges"": [[""bowl"", ""rests_nearby"", ""cutting_board""], [""cutting_board"", ""sits_atop"", ""counter""], [""bowl"", ""in"", ""kitchen""], [""cutting_board"", ""in"", ""kitchen""]]}, {""time"": ""T3"", ""nodes"": [{""id"": ""pot"", ""attributes"": [""steaming""]}, {""id"": ""stove"", ""attributes"": []}, {""id"": ""spices"", ""attributes"": []}, {""id"": ""jars"", ""attributes"": [""small""]}, {""id"": ""kitchen"", ""attributes"": [""dimly_lit""]}], ""edges"": [[""pot"", ""on"", ""stove""], [""spices"", ""in"", ""jars""], [""pot"", ""in"", ""kitchen""], [""spices"", ""in"", ""kitchen""]]}]","true","false"
"item_0002","A vibrant garden blooms with colorful flowers, including bright yellow tulips and deep red roses. A wooden bench is tucked beneath an archway of ivy, with gardening gloves and a trowel lying beside a small watering can.","","true","false"
"item_0003","On a cluttered workbench in a garage, a set of wrenches is spread out next to a clump of greasy engine parts. An old radio plays softly in the background, and a toolbox stands closed and rusty against the wall.","","true","false"
"item_0004","In a cozy library, a plush armchair is positioned next to a wooden bookshelf filled with dusty tomes. On a small side table, a steaming mug of tea rests beside an open book filled with colorful bookmarks.","","true","false"
"item_0005","A child’s playroom is scattered with vibrant toys, including a stuffed dinosaur and a stack of colorful blocks. A small table is set with crayons and a coloring book, while a plush rug covers the wooden floor.","","true","false"
"item_0006","In a bright and airy office, a modern desk hosts a sleek computer monitor, with a keyboard and mouse alongside. An indoor plant sits in the corner, next to a window that reveals a view of bustling city streets.","","true","false"
"item_0007","A serene beach scene features a colorful beach umbrella and a striped towel spread on the sand. A cooler is parked nearby, with a beach ball and a pair of flip-flops resting close by.","","true","false"
"item_0008","On a picnic blanket spread out in a verdant park, a wicker basket overflows with fresh fruits and sandwiches, alongside a bottle of lemonade. A frisbee lays nearby, waiting for its next throw.","","true","false"
"item_0009","In a stylish barbershop, a vintage barber chair sits under a barber pole, with scissors and combs neatly arranged on a metal tray. A mirror reflects the warm glow of hanging Edison bulbs above the scene.","","true","false"
"item_0010","A rustic farmhouse kitchen features a wooden table set with a checkered tablecloth, where a fruit bowl brims with apples and bananas. Nearby, a kettle whistles on the stove beside a jar of homemade jam.","","true","false"
"item_0011","An art studio is alive with creativity, showcasing a canvas propped against an easel. Paint tubes and brushes are scattered across a work bench covered in splatters of vibrant colors, alongside a sketchbook filled with ideas.","","true","false"
"item_0012","In a botanical garden, a large fountain surrounded by colorful flowers gushes water, while a stone path leads to a greenhouse filled with exotic plants. A bench beneath a shady tree invites visitors to relax.","","true","false"
"item_0013","On a wooden dock by a tranquil lake, a fishing rod leans against a cooler, with a tackle box sitting nearby, ready for a day of fishing. Reflections of trees on the water create a stunning mirror image.","","true","false"
"item_0014","A minimalist dining room showcases a clean wooden table set with porcelain dishes and silverware, with a vase of fresh lilies in the center. A modern chandelier provides a warm glow overhead.","","true","false"
"item_0015","In a cozy bedroom, a bed is adorned with fluffy pillows and a soft quilt, while a bedside table holds an alarm clock and a novel. A window with lace curtains allows soft sunlight to fill the space.","","true","false"
"item_0016","A tech-savvy living room features a large flat-screen TV mounted on the wall, with a gaming console sitting on an entertainment unit. A comfortable sectional sofa is positioned for optimal viewing, and a coffee table holds snacks.","","true","false"
"item_0017","A vibrant farmer's market buzzes with activity, where wooden stalls display fresh produce, artisan bread, and colorful flowers. Handwoven baskets are piled high, with shoppers examining the variety of goods.","","true","false"
"item_0018","Nestled in a corner of a café, a small wooden round table holds a slice of cake and a fork beside a steaming cappuccino. A vintage clock ticks softly on the wall, while the aroma of coffee fills the air.","","true","false"
"item_0019","In a child’s bedroom, a race car bed is framed by posters of superheroes. Toys are scattered around a colorful rug, and a chest filled with stuffed animals rests against the wall, waiting for playtime.","","true","false"
"item_0020","An upscale jewelry store showcases sparkling rings and necklaces in glass display cases. A plush carpet lines the floor, and elegant lighting casts a warm ambiance over the polished countertops adorned with accessories.","","true","false"
"item_0021","A bustling city sidewalk is alive with activity, where a food cart serves hot dogs and pretzels. People sit on benches enjoying their meals, and tall buildings loom overhead as a street musician plays nearby.","","true","false"
"item_0022","On a scenic hiking trail, a wooden bench overlooks a breathtaking valley filled with rolling hills and colorful wildflowers. A backpack rests against the bench, while a water bottle sits nearby, waiting for a refreshing drink.","","true","false"
"item_0023","In a quaint brewery, wooden barrels line the walls alongside tables with patrons enjoying craft beers. A chalkboard menu hanging behind the bar lists today’s brews with lively descriptions.","","true","false"
"item_0024","An antique shop is filled with intriguing items, including vintage clocks, old books, and ornate furniture. Dust motes dance in the sunlight streaming through the front window, illuminating the treasures within.","","true","false"
"item_0025","In a bustling hospital waiting room, plastic chairs are arranged around small tables with magazines and pamphlets. A soft play area for children sits in the corner, with colorful toys and a selection of books.","","true","false"
"item_0026","A picturesque marina features sleek boats moored along a dock, with colorful buoys bobbing gently in the water. The sky is painted with hues of pink and orange as the sun sets over the horizon.","","true","false"
"item_0027","At a sunny rooftop terrace, modern furniture provides a space for relaxation, with potted plants adding a touch of greenery. A grill sits in one corner, while a panoramic view of the skyline dominates the scene.","","true","false"
"item_0028","In a vibrant art gallery, walls are adorned with unique paintings and sculptures. Visitors wander through the space, discussing the pieces, while a stylish couch provides a place for contemplative viewing.","","true","false"
"item_0029","An enchanting bookstore welcomes visitors with its wooden shelves filled with countless volumes. A cozy reading nook is tucked away in a corner, complete with a plush armchair and a small lamp casting a warm glow.","","true","false"
"item_0030","A pristine swimming pool area features sun loungers arranged neatly beside a shimmering blue expanse, with colorful floaties resting on the water. A small bar serves refreshing drinks under a shady gazebo.","","true","false"
"item_0031","In a vintage diner, shiny chrome fixtures complement bright red booths and a checkered floor. A jukebox plays classic tunes, while a waitress serves plates piled high with burgers and fries.","","true","false"
"item_0032","A snowy mountain landscape is dotted with tall pine trees, where a wooden cabin stands with smoke curling from the chimney. Skis and snowboards lean against the porch, while a sled rests nearby.","","true","false"
"item_0033","On a suburban street, a charming white picket fence encloses a colorful garden bursting with blooming flowers. A swing hangs from a sturdy tree, creating a picturesque scene of outdoor leisure.","","true","false"
"item_0034","A cozy café features small tables with mismatched chairs and chalkboard menus. Aromas of freshly baked pastries and brewed coffee fill the air, with patrons chatting softly at their tables.","","true","false"
"item_0035","A high-tech laboratory showcases gleaming equipment and glass beakers filled with colorful liquids. Computer screens display data, while a whiteboard is filled with complex formulas and diagrams.","","true","false"
"item_0036","In a vibrant night market, stalls teem with colorful street food offerings and handmade crafts. Lanterns illuminate the scene, while families and friends laugh and sample delicious treats.","","true","false"
"item_0037","A serene yoga studio is filled with soft natural light, where mats are neatly rolled out on a polished wooden floor. Potted plants add tranquility, and calming music plays softly in the background.","","true","false"
"item_0038","In a music studio, a grand piano sits in the center surrounded by microphones and musical instruments. Sheet music is scattered around, while soundproof walls create an acoustically perfect environment.","","true","false"
"item_0039","A ski resort boasts cozy chalets and stunning mountain views, with skiers gliding down slopes. A fire pit in the common area invites guests to gather, toasting marshmallows as the evening cools.","","true","false"
"item_0040","A charming tea shop features shelves lined with jars of loose-leaf teas and tea accessories. A small seating area offers cozy tables for customers to enjoy their warm drinks along with pastries.","","true","false"
"item_0041","In an urban loft, industrial elements like exposed brick and metal beams create a modern aesthetic. A large art piece hangs above a sleek sofa, while tall windows provide expansive views of the city.","","true","false"
"item_0042","A serene lake cabin is equipped with a wooden porch swing facing the tranquil water. Inside, a stone fireplace adds warmth to the cozy living area, with fishing gear and books clustered near the fire.","","true","false"
"item_0043","An expansive gym features rows of weightlifting equipment, treadmills, and yoga mats. Mirrored walls reflect dedicated attendees working out, while inspirational quotes adorn the walls for motivation.","","true","false"
"item_0044","A botanical conservatory is filled with lush greenery and vibrant flowers under a glass dome. Paths meander through the displays, leading to tranquil seating areas with benches for reflection.","","true","false"
"item_0045","In a quaint bakery, the air is filled with the sweet scent of baked goods. Display cases showcase a variety of pastries and cakes, while tables invite customers to sit and savor their treats.","","true","false"
"item_0046","A peaceful countryside field stretches out, dotted with grazing sheep and wildflowers. A rustic wooden fence outlines the property, while a farmhouse looms in the distance against a clear blue sky.","","true","false"
"item_0047","An upscale cosmetics store showcases elegantly displayed beauty products on sleek counters. Staff provide consultations to customers while glowing lights highlight the latest makeup collections.","","true","false"
